,year,distance,gender,finisher_count
0,2016,15K,F,363
1,2016,15K,M,458
2,2016,4mi,F,1197
3,2016,4mi,M,1149
4,2017,15K,F,295
5,2017,15K,M,370
6,2017,4mi,F,887
7,2017,4mi,M,894
8,2018,15K,F,289
9,2018,15K,M,366
10,2018,4mi,F,932
11,2018,4mi,M,916
12,2019,15K,F,227
13,2019,15K,M,318
14,2019,4mi,F,738
15,2019,4mi,M,753
16,2021,15K,F,0
17,2021,15K,M,0
18,2021,4mi,F,448
19,2021,4mi,M,499
20,2022,15K,F,128
21,2022,15K,M,165
22,2022,4mi,F,494
23,2022,4mi,M,558
24,2023,15K,F,115
25,2023,15K,M,208
26,2023,4mi,F,519
27,2023,4mi,M,533
