,gender,age,time,year,time_seconds
0,M,21,48:18,2016,2898
1,M,20,49:28,2016,2968
2,M,21,50:46,2016,3046
3,M,20,51:46,2016,3106
4,M,29,52:02,2016,3122
5,M,37,52:39,2016,3159
6,M,25,53:19,2016,3199
7,M,24,53:34,2016,3214
8,M,39,55:09,2016,3309
9,M,23,55:25,2016,3325
10,M,49,55:43,2016,3343
11,M,24,55:56,2016,3356
12,M,35,56:02,2016,3362
13,M,41,56:25,2016,3385
14,M,47,57:07,2016,3427
15,M,18,57:24,2016,3444
16,M,17,57:46,2016,3466
17,M,27,58:32,2016,3512
18,M,16,58:45,2016,3525
19,F,34,58:57,2016,3537
20,M,31,58:59,2016,3539
21,M,32,59:16,2016,3556
22,M,23,59:53,2016,3593
23,M,41,59:55,2016,3595
24,M,21,1:00:30,2016,3630
25,F,19,1:00:54,2016,3654
26,M,36,1:01:04,2016,3664
27,M,21,1:01:05,2016,3665
28,M,21,1:01:17,2016,3677
29,M,31,1:02:05,2016,3725
30,M,17,1:02:07,2016,3727
31,M,43,1:02:22,2016,3742
32,M,35,1:02:31,2016,3751
33,F,34,1:03:18,2016,3798
34,M,30,1:03:34,2016,3814
35,M,31,1:03:44,2016,3824
36,M,45,1:03:46,2016,3826
37,M,15,1:04:07,2016,3847
38,M,39,1:04:19,2016,3859
39,M,29,1:04:31,2016,3871
40,M,27,1:04:36,2016,3876
41,M,40,1:04:39,2016,3879
42,M,17,1:04:46,2016,3886
43,M,37,1:04:59,2016,3899
44,M,43,1:05:11,2016,3911
45,M,36,1:05:16,2016,3916
46,M,33,1:05:20,2016,3920
47,M,35,1:05:32,2016,3932
48,M,37,1:05:46,2016,3946
49,F,18,1:05:56,2016,3956
50,M,40,1:05:59,2016,3959
51,F,44,1:06:09,2016,3969
52,M,26,1:06:09,2016,3969
53,M,59,1:06:21,2016,3981
54,F,22,1:06:25,2016,3985
55,M,16,1:06:49,2016,4009
56,M,34,1:06:55,2016,4015
57,F,22,1:07:00,2016,4020
58,M,38,1:07:02,2016,4022
59,M,47,1:07:02,2016,4022
60,F,40,1:07:06,2016,4026
61,F,21,1:07:06,2016,4026
62,M,42,1:07:12,2016,4032
63,M,46,1:07:16,2016,4036
64,M,55,1:07:20,2016,4040
65,M,18,1:07:22,2016,4042
66,M,42,1:07:26,2016,4046
67,M,32,1:07:31,2016,4051
68,F,34,1:07:38,2016,4058
69,M,17,1:07:47,2016,4067
70,M,36,1:07:50,2016,4070
71,M,23,1:07:57,2016,4077
72,M,40,1:08:02,2016,4082
73,M,17,1:08:10,2016,4090
74,M,19,1:08:20,2016,4100
75,M,48,1:08:28,2016,4108
76,F,31,1:08:31,2016,4111
77,F,26,1:08:51,2016,4131
78,M,37,1:08:54,2016,4134
79,F,24,1:08:58,2016,4138
80,M,52,1:09:08,2016,4148
