,gender,age,time,distance,year,time_seconds
0,M,21,48:18,15K,2016,2898
1,M,20,49:28,15K,2016,2968
2,M,21,50:46,15K,2016,3046
3,M,20,51:46,15K,2016,3106
4,M,29,52:02,15K,2016,3122
5,M,37,52:39,15K,2016,3159
6,M,25,53:19,15K,2016,3199
7,M,24,53:34,15K,2016,3214
8,M,39,55:09,15K,2016,3309
9,M,23,55:25,15K,2016,3325
10,M,49,55:43,15K,2016,3343
11,M,24,55:56,15K,2016,3356
12,M,35,56:02,15K,2016,3362
13,M,41,56:25,15K,2016,3385
14,M,47,57:07,15K,2016,3427
15,M,18,57:24,15K,2016,3444
16,M,17,57:46,15K,2016,3466
17,M,27,58:32,15K,2016,3512
18,M,16,58:45,15K,2016,3525
19,F,34,58:57,15K,2016,3537
20,M,31,58:59,15K,2016,3539
21,M,32,59:16,15K,2016,3556
22,M,23,59:53,15K,2016,3593
23,M,41,59:55,15K,2016,3595
24,M,21,1:00:30,15K,2016,3630
25,F,19,1:00:54,15K,2016,3654
26,M,36,1:01:04,15K,2016,3664
27,M,21,1:01:05,15K,2016,3665
28,M,21,1:01:17,15K,2016,3677
29,M,31,1:02:05,15K,2016,3725
30,M,17,1:02:07,15K,2016,3727
31,M,43,1:02:22,15K,2016,3742
32,M,35,1:02:31,15K,2016,3751
33,F,34,1:03:18,15K,2016,3798
34,M,30,1:03:34,15K,2016,3814
35,M,31,1:03:44,15K,2016,3824
36,M,45,1:03:46,15K,2016,3826
37,M,15,1:04:07,15K,2016,3847
38,M,39,1:04:19,15K,2016,3859
39,M,29,1:04:31,15K,2016,3871
40,M,27,1:04:36,15K,2016,3876
41,M,40,1:04:39,15K,2016,3879
42,M,17,1:04:46,15K,2016,3886
43,M,37,1:04:59,15K,2016,3899
44,M,43,1:05:11,15K,2016,3911
45,M,36,1:05:16,15K,2016,3916
46,M,33,1:05:20,15K,2016,3920
47,M,35,1:05:32,15K,2016,3932
48,M,37,1:05:46,15K,2016,3946
49,F,18,1:05:56,15K,2016,3956
50,M,40,1:05:59,15K,2016,3959
51,F,44,1:06:09,15K,2016,3969
52,M,26,1:06:09,15K,2016,3969
53,M,59,1:06:21,15K,2016,3981
54,F,22,1:06:25,15K,2016,3985
55,M,16,1:06:49,15K,2016,4009
56,M,34,1:06:55,15K,2016,4015
57,F,22,1:07:00,15K,2016,4020
58,M,38,1:07:02,15K,2016,4022
59,M,47,1:07:02,15K,2016,4022
60,F,40,1:07:06,15K,2016,4026
61,F,21,1:07:06,15K,2016,4026
62,M,42,1:07:12,15K,2016,4032
63,M,46,1:07:16,15K,2016,4036
64,M,55,1:07:20,15K,2016,4040
65,M,18,1:07:22,15K,2016,4042
66,M,42,1:07:26,15K,2016,4046
67,M,32,1:07:31,15K,2016,4051
68,F,34,1:07:38,15K,2016,4058
69,M,17,1:07:47,15K,2016,4067
70,M,36,1:07:50,15K,2016,4070
71,M,23,1:07:57,15K,2016,4077
72,M,40,1:08:02,15K,2016,4082
73,M,17,1:08:10,15K,2016,4090
74,M,19,1:08:20,15K,2016,4100
75,M,48,1:08:28,15K,2016,4108
76,F,31,1:08:31,15K,2016,4111
77,F,26,1:08:51,15K,2016,4131
78,M,37,1:08:54,15K,2016,4134
79,F,24,1:08:58,15K,2016,4138
80,M,52,1:09:08,15K,2016,4148
81,F,40,1:09:18,15K,2016,4158
82,M,58,1:09:19,15K,2016,4159
83,M,35,1:09:24,15K,2016,4164
84,M,50,1:09:37,15K,2016,4177
85,F,28,1:09:47,15K,2016,4187
86,M,42,1:09:50,15K,2016,4190
87,M,34,1:09:53,15K,2016,4193
88,M,54,1:09:56,15K,2016,4196
89,M,31,1:09:56,15K,2016,4196
90,M,49,1:09:56,15K,2016,4196
91,M,27,1:10:20,15K,2016,4220
92,F,39,1:10:20,15K,2016,4220
93,M,31,1:10:20,15K,2016,4220
94,M,39,1:10:21,15K,2016,4221
95,M,31,1:10:24,15K,2016,4224
96,M,30,1:10:28,15K,2016,4228
97,F,17,1:10:31,15K,2016,4231
98,M,39,1:10:32,15K,2016,4232
99,M,20,1:10:33,15K,2016,4233
100,M,40,1:10:35,15K,2016,4235
101,M,35,1:10:36,15K,2016,4236
102,M,35,1:10:36,15K,2016,4236
103,M,44,1:10:37,15K,2016,4237
104,F,35,1:10:40,15K,2016,4240
105,M,32,1:10:51,15K,2016,4251
106,M,41,1:10:58,15K,2016,4258
107,M,24,1:11:00,15K,2016,4260
108,M,29,1:11:01,15K,2016,4261
109,M,50,1:11:10,15K,2016,4270
110,M,29,1:11:11,15K,2016,4271
111,F,16,1:11:17,15K,2016,4277
112,M,30,1:11:24,15K,2016,4284
113,F,29,1:11:32,15K,2016,4292
114,M,40,1:11:34,15K,2016,4294
115,M,33,1:11:37,15K,2016,4297
116,M,45,1:11:38,15K,2016,4298
117,M,48,1:11:41,15K,2016,4301
118,M,52,1:11:41,15K,2016,4301
119,M,22,1:11:46,15K,2016,4306
120,M,34,1:11:48,15K,2016,4308
121,F,36,1:11:50,15K,2016,4310
122,M,44,1:11:53,15K,2016,4313
123,F,42,1:11:54,15K,2016,4314
124,F,41,1:11:57,15K,2016,4317
125,M,43,1:12:00,15K,2016,4320
126,M,39,1:12:04,15K,2016,4324
127,F,50,1:12:08,15K,2016,4328
128,M,39,1:12:10,15K,2016,4330
129,M,16,1:12:17,15K,2016,4337
130,F,32,1:12:18,15K,2016,4338
131,M,43,1:12:20,15K,2016,4340
132,M,26,1:12:24,15K,2016,4344
133,M,14,1:12:31,15K,2016,4351
134,M,20,1:12:33,15K,2016,4353
135,M,43,1:12:36,15K,2016,4356
136,M,23,1:12:40,15K,2016,4360
137,M,38,1:12:49,15K,2016,4369
138,F,37,1:12:50,15K,2016,4370
139,M,61,1:12:52,15K,2016,4372
140,M,40,1:12:53,15K,2016,4373
141,M,44,1:12:54,15K,2016,4374
142,F,27,1:12:56,15K,2016,4376
143,F,39,1:12:58,15K,2016,4378
144,M,28,1:13:01,15K,2016,4381
145,M,54,1:13:06,15K,2016,4386
146,M,30,1:13:14,15K,2016,4394
147,M,49,1:13:22,15K,2016,4402
148,F,33,1:13:30,15K,2016,4410
149,F,24,1:13:31,15K,2016,4411
150,M,57,1:13:36,15K,2016,4416
151,M,40,1:13:40,15K,2016,4420
152,M,34,1:13:48,15K,2016,4428
153,M,33,1:13:52,15K,2016,4432
154,M,38,1:13:53,15K,2016,4433
155,M,30,1:14:03,15K,2016,4443
156,M,50,1:14:03,15K,2016,4443
157,M,43,1:14:14,15K,2016,4454
158,M,29,1:14:18,15K,2016,4458
159,M,33,1:14:21,15K,2016,4461
160,M,49,1:14:22,15K,2016,4462
161,M,32,1:14:23,15K,2016,4463
162,M,49,1:14:24,15K,2016,4464
163,F,30,1:14:31,15K,2016,4471
164,F,18,1:14:33,15K,2016,4473
